Date,Price,Open,High,Low,Vol.,Change %
7/11/2025,0.658,0.6587,0.6597,0.6556,,-0.11%
7/10/2025,0.6587,0.6536,0.6592,0.6528,,0.78%
7/9/2025,0.6536,0.6528,0.655,0.6509,,0.08%
7/8/2025,0.6531,0.6492,0.6558,0.649,,0.62%
7/7/2025,0.6491,0.6556,0.6566,0.6485,,-0.92%
7/6/2025,0.6551,0.6564,0.6565,0.6547,,-0.03%
7/4/2025,0.6553,0.6573,0.6581,0.6545,,-0.29%
7/3/2025,0.6572,0.6584,0.6588,0.6537,,-0.18%
7/2/2025,0.6584,0.6583,0.659,0.6543,,0.02%
7/1/2025,0.6583,0.6577,0.6592,0.6553,,0.03%
6/30/2025,0.6581,0.6526,0.6584,0.6522,,0.77%
6/27/2025,0.6531,0.6546,0.6563,0.6508,,-0.23%
6/26/2025,0.6546,0.6509,0.6565,0.6505,,0.51%
6/25/2025,0.6513,0.6488,0.6516,0.6484,,0.37%
6/24/2025,0.6489,0.646,0.6521,0.6456,,0.45%
6/23/2025,0.646,0.6438,0.6465,0.6372,,0.14%
6/20/2025,0.6451,0.6482,0.6497,0.6447,,-0.48%
6/19/2025,0.6482,0.6509,0.6513,0.6445,,-0.40%
6/18/2025,0.6508,0.6475,0.6538,0.6467,,0.51%
6/17/2025,0.6475,0.6524,0.6545,0.6466,,-0.75%
6/16/2025,0.6524,0.6492,0.6553,0.6466,,0.55%
6/13/2025,0.6488,0.6533,0.6535,0.6456,,-0.70%
6/12/2025,0.6534,0.6507,0.6535,0.6477,,0.51%
6/11/2025,0.6501,0.6524,0.6547,0.6495,,-0.32%
6/10/2025,0.6522,0.6517,0.6535,0.649,,0.08%
6/9/2025,0.6517,0.6492,0.6535,0.6488,,0.37%
6/6/2025,0.6493,0.6511,0.6518,0.6479,,-0.20%
6/5/2025,0.6506,0.6493,0.6539,0.6485,,0.22%
6/4/2025,0.6492,0.6458,0.6506,0.6448,,0.46%
6/3/2025,0.6462,0.6495,0.6501,0.6446,,-0.52%
6/2/2025,0.6496,0.6435,0.6502,0.6427,,1.00%
5/30/2025,0.6432,0.644,0.6454,0.6406,,-0.16%
5/29/2025,0.6442,0.6427,0.6461,0.6406,,0.23%
5/28/2025,0.6427,0.6443,0.6455,0.641,,-0.26%
5/27/2025,0.6444,0.6485,0.6497,0.6434,,-0.65%
5/26/2025,0.6486,0.6491,0.6539,0.6482,,-0.14%
5/23/2025,0.6495,0.6411,0.6501,0.6407,,1.31%
5/22/2025,0.6411,0.644,0.646,0.6406,,-0.39%
5/21/2025,0.6436,0.6422,0.6471,0.6418,,0.19%
5/20/2025,0.6424,0.6458,0.646,0.6391,,-0.51%
5/19/2025,0.6457,0.6412,0.6466,0.6396,,0.84%
5/16/2025,0.6403,0.6406,0.6438,0.6387,,-0.06%
5/15/2025,0.6407,0.6428,0.6459,0.639,,-0.33%
5/14/2025,0.6428,0.6471,0.6503,0.6422,,-0.66%
5/13/2025,0.6471,0.637,0.648,0.6361,,1.55%
5/12/2025,0.6372,0.643,0.6462,0.6356,,-0.62%
5/9/2025,0.6412,0.64,0.6434,0.6371,,0.19%
5/8/2025,0.64,0.6424,0.6466,0.6395,,-0.39%
5/7/2025,0.6425,0.6496,0.6516,0.6421,,-1.08%
5/6/2025,0.6495,0.647,0.6503,0.6438,,0.40%
5/5/2025,0.6469,0.6443,0.6495,0.6428,,0.39%
5/2/2025,0.6444,0.6382,0.6471,0.6379,,0.94%
5/1/2025,0.6384,0.6399,0.6428,0.6365,,-0.30%
4/30/2025,0.6403,0.6384,0.6419,0.6356,,0.30%
