Date,Price,Open,High,Low,Vol.,Change %
7/11/2025,0.6012,0.6036,0.6044,0.6001,,-0.40%
7/10/2025,0.6036,0.6002,0.6037,0.5996,,0.58%
7/9/2025,0.6001,0.5998,0.6015,0.5975,,0.03%
7/8/2025,0.5999,0.5995,0.6035,0.5979,,0.07%
7/7/2025,0.5995,0.6075,0.6076,0.5988,,-0.91%
7/6/2025,0.605,0.6062,0.6063,0.6047,,-0.21%
7/4/2025,0.6063,0.6068,0.6083,0.605,,-0.13%
7/3/2025,0.6071,0.6083,0.6094,0.6029,,-0.33%
7/2/2025,0.6091,0.6093,0.6108,0.605,,-0.13%
7/1/2025,0.6099,0.6085,0.6122,0.6075,,0.05%
6/30/2025,0.6096,0.6045,0.61,0.6035,,0.64%
6/27/2025,0.6057,0.6052,0.608,0.6037,,-0.02%
6/26/2025,0.6058,0.6037,0.6076,0.6029,,0.30%
6/25/2025,0.604,0.6006,0.6043,0.6003,,0.55%
6/24/2025,0.6007,0.5979,0.6042,0.5966,,0.50%
6/23/2025,0.5977,0.5961,0.5981,0.5882,,0.25%
6/20/2025,0.5962,0.5992,0.6011,0.5961,,-0.53%
6/19/2025,0.5994,0.6028,0.6036,0.5959,,-0.58%
6/18/2025,0.6029,0.6024,0.6059,0.6009,,0.23%
6/17/2025,0.6015,0.6061,0.6081,0.601,,-0.78%
6/16/2025,0.6062,0.6026,0.6089,0.6002,,0.85%
6/13/2025,0.6011,0.607,0.6071,0.5995,,-0.97%
6/12/2025,0.607,0.603,0.6073,0.6006,,0.66%
6/11/2025,0.603,0.6051,0.6067,0.6022,,-0.38%
6/10/2025,0.6053,0.6048,0.606,0.6027,,0.10%
6/9/2025,0.6047,0.6018,0.6067,0.6008,,0.53%
6/6/2025,0.6015,0.6035,0.6052,0.6006,,-0.33%
6/5/2025,0.6035,0.6027,0.6082,0.6024,,0.12%
6/4/2025,0.6028,0.6002,0.6041,0.5991,,0.50%
6/3/2025,0.5998,0.6035,0.6056,0.5987,,-0.61%
6/2/2025,0.6035,0.5978,0.6044,0.5955,,1.24%
5/30/2025,0.5961,0.5962,0.6002,0.5947,,-0.10%
5/29/2025,0.5967,0.5968,0.5994,0.5924,,-0.02%
5/28/2025,0.5968,0.5957,0.5981,0.5923,,0.34%
5/27/2025,0.5948,0.6,0.6007,0.594,,-0.87%
5/26/2025,0.6,0.5982,0.6033,0.5966,,0.17%
5/23/2025,0.599,0.5906,0.5991,0.5895,,1.54%
5/22/2025,0.5899,0.5943,0.5955,0.5894,,-0.69%
5/21/2025,0.594,0.5926,0.5969,0.5917,,0.24%
5/20/2025,0.5926,0.5931,0.5934,0.5894,,-0.08%
5/19/2025,0.5931,0.5881,0.5934,0.587,,0.83%
5/16/2025,0.5882,0.5872,0.592,0.5865,,0.07%
5/15/2025,0.5878,0.59,0.5917,0.586,,-0.37%
5/14/2025,0.59,0.5938,0.597,0.5893,,-0.66%
5/13/2025,0.5939,0.5857,0.5943,0.5847,,1.42%
5/12/2025,0.5856,0.5913,0.5942,0.5846,,-0.90%
5/9/2025,0.5909,0.5905,0.5921,0.587,,0.07%
5/8/2025,0.5905,0.5954,0.5976,0.5901,,-0.61%
5/7/2025,0.5941,0.601,0.6024,0.5935,,-1.13%
5/6/2025,0.6009,0.5973,0.6015,0.5943,,0.69%
5/5/2025,0.5968,0.594,0.5997,0.5934,,0.34%
5/2/2025,0.5948,0.5911,0.5979,0.5903,,0.69%
5/1/2025,0.5907,0.5938,0.5953,0.5893,,-0.47%
4/30/2025,0.5935,0.5931,0.5951,0.5898,,0.05%
4/29/2025,0.5932,0.5979,0.5988,0.5927,,-0.79%
4/28/2025,0.5979,0.595,0.5986,0.5928,,0.29%
4/25/2025,0.5962,0.5997,0.6002,0.5948,,-0.58%
4/24/2025,0.5997,0.5946,0.6002,0.5941,,0.86%
4/23/2025,0.5946,0.597,0.6015,0.5936,,-0.35%
4/22/2025,0.5967,0.5991,0.603,0.5964,,-0.53%
4/21/2025,0.5999,0.5938,0.6021,0.592,,1.04%
4/18/2025,0.5937,0.5972,0.5976,0.5925,,-0.60%
4/17/2025,0.5973,0.5934,0.5979,0.59,,0.66%
4/16/2025,0.5934,0.5899,0.5938,0.5886,,0.61%
4/15/2025,0.5898,0.5868,0.5945,0.5861,,0.39%
4/14/2025,0.5875,0.5825,0.5893,0.5813,,0.88%
4/11/2025,0.5824,0.5739,0.5841,0.5735,,1.53%
4/10/2025,0.5736,0.5644,0.5767,0.5627,,1.63%
4/9/2025,0.5644,0.5525,0.5669,0.5485,,2.01%
4/8/2025,0.5533,0.553,0.5627,0.552,,-0.02%
4/7/2025,0.5534,0.5599,0.5652,0.5506,,-1.09%
4/4/2025,0.5595,0.5796,0.5808,0.5551,,-3.42%
4/3/2025,0.5793,0.5737,0.5854,0.568,,0.80%
4/2/2025,0.5747,0.5705,0.578,0.5697,,0.82%
4/1/2025,0.57,0.5678,0.5706,0.5663,,0.39%
3/31/2025,0.5678,0.573,0.5739,0.5648,,-0.61%
3/28/2025,0.5713,0.574,0.5746,0.5711,,-0.47%
3/27/2025,0.574,0.573,0.5757,0.5712,,0.19%
3/26/2025,0.5729,0.5733,0.5764,0.5713,,-0.03%
3/25/2025,0.5731,0.5729,0.5752,0.571,,0.07%
3/24/2025,0.5727,0.5739,0.5757,0.5709,,-0.07%
3/21/2025,0.5731,0.5757,0.5769,0.5724,,-0.43%
3/20/2025,0.5756,0.5817,0.5827,0.5722,,-0.98%
3/19/2025,0.5813,0.582,0.5821,0.5775,,-0.09%
3/18/2025,0.5818,0.5821,0.5833,0.5798,,-0.03%
3/17/2025,0.582,0.5743,0.5827,0.5729,,1.32%
3/14/2025,0.5744,0.5698,0.5757,0.5693,,0.84%
3/13/2025,0.5696,0.572,0.5743,0.5681,,-0.56%
3/12/2025,0.5728,0.5716,0.574,0.5698,,0.25%
3/11/2025,0.5714,0.5699,0.5728,0.5677,,0.30%
3/10/2025,0.5697,0.5716,0.5744,0.5689,,-0.14%
3/7/2025,0.5705,0.574,0.5742,0.5692,,-0.52%
3/6/2025,0.5735,0.5727,0.576,0.572,,0.16%
3/5/2025,0.5726,0.5665,0.5733,0.5637,,1.08%
3/4/2025,0.5665,0.5617,0.5667,0.5595,,0.89%
3/3/2025,0.5615,0.5604,0.564,0.5593,,0.32%
2/28/2025,0.5597,0.5636,0.5638,0.5585,,-0.57%
2/27/2025,0.5629,0.5696,0.5703,0.5629,,-1.14%
2/26/2025,0.5694,0.5719,0.5734,0.5688,,-0.54%
2/25/2025,0.5725,0.5733,0.574,0.5706,,-0.14%
2/24/2025,0.5733,0.5746,0.5774,0.5729,,-0.12%
2/21/2025,0.574,0.5765,0.5774,0.5735,,-0.38%
2/20/2025,0.5762,0.5705,0.5769,0.5693,,1.02%
2/19/2025,0.5704,0.5705,0.5733,0.5677,,0.09%
2/18/2025,0.5699,0.5736,0.574,0.5693,,-0.65%
2/17/2025,0.5736,0.5721,0.5752,0.5706,,0.12%
2/14/2025,0.5729,0.5678,0.5739,0.5665,,0.92%
2/13/2025,0.5677,0.5643,0.568,0.5623,,0.66%
2/12/2025,0.564,0.5656,0.5673,0.5599,,-0.25%
2/11/2025,0.5654,0.564,0.5662,0.5628,,0.23%
2/10/2025,0.5641,0.5659,0.5669,0.5634,,-0.34%
2/7/2025,0.566,0.5675,0.5695,0.564,,-0.26%
2/6/2025,0.5675,0.5689,0.5693,0.5651,,-0.23%
2/5/2025,0.5688,0.5651,0.5704,0.5645,,0.65%
2/4/2025,0.5651,0.5629,0.5656,0.5582,,0.41%
2/3/2025,0.5628,0.5623,0.5641,0.5516,,-0.14%
1/31/2025,0.5636,0.5634,0.5685,0.5624,,0.04%
1/30/2025,0.5634,0.5658,0.5669,0.5622,,-0.42%
1/29/2025,0.5658,0.5667,0.5671,0.5634,,-0.14%
1/28/2025,0.5666,0.5692,0.5693,0.5648,,-0.46%
1/27/2025,0.5692,0.5707,0.5724,0.5676,,-0.30%
1/24/2025,0.5709,0.5679,0.5725,0.5671,,0.60%
1/23/2025,0.5675,0.5665,0.5687,0.5647,,0.21%
1/22/2025,0.5663,0.5675,0.5689,0.5649,,-0.23%
1/21/2025,0.5676,0.5672,0.569,0.5617,,0.09%
1/20/2025,0.5671,0.5588,0.5685,0.5579,,1.63%
1/17/2025,0.558,0.5606,0.5617,0.5563,,-0.48%
1/16/2025,0.5607,0.5616,0.5634,0.5582,,-0.14%
1/15/2025,0.5615,0.5605,0.5653,0.5596,,0.20%
1/14/2025,0.5604,0.5584,0.5633,0.5579,,0.38%
1/13/2025,0.5583,0.5552,0.5585,0.554,,0.49%
1/10/2025,0.5556,0.5599,0.5604,0.5543,,-0.77%
1/9/2025,0.5599,0.5608,0.5613,0.5572,,-0.16%
1/8/2025,0.5608,0.5635,0.5643,0.559,,-0.46%
1/7/2025,0.5634,0.5646,0.5694,0.5632,,-0.14%
1/6/2025,0.5642,0.5622,0.5686,0.5599,,0.55%
1/3/2025,0.5611,0.5595,0.5615,0.5591,,0.30%
1/2/2025,0.5594,0.5599,0.5626,0.5587,,-0.02%
1/1/2025,0.5595,0.5594,0.561,0.5593,,0.04%
12/31/2024,0.5593,0.5639,0.5648,0.5588,,-0.82%
12/30/2024,0.5639,0.5639,0.5666,0.562,,0.12%
12/27/2024,0.5632,0.5624,0.5645,0.5614,,0.16%
12/26/2024,0.5623,0.5645,0.566,0.5621,,-0.37%
12/25/2024,0.5644,0.5648,0.5659,0.5636,,-0.12%
12/24/2024,0.5651,0.5649,0.566,0.5633,,0.05%
12/23/2024,0.5648,0.5668,0.5675,0.5632,,-0.05%
12/20/2024,0.5651,0.5629,0.5674,0.5613,,0.37%
