Date,Price,Open,High,Low,Vol.,Change %
7/11/2025,0.7966,0.7973,0.7984,0.7953,,-0.06%
7/10/2025,0.7971,0.7945,0.7989,0.7918,,0.35%
7/9/2025,0.7943,0.7958,0.7981,0.7938,,-0.24%
7/8/2025,0.7962,0.7986,0.7996,0.7953,,-0.30%
7/7/2025,0.7986,0.7948,0.7992,0.7935,,0.55%
7/6/2025,0.7942,0.7943,0.7949,0.7937,,0.01%
7/4/2025,0.7941,0.7952,0.7958,0.792,,-0.14%
7/3/2025,0.7952,0.7919,0.7988,0.7898,,0.40%
7/2/2025,0.792,0.7913,0.7943,0.7903,,0.11%
7/1/2025,0.7911,0.7931,0.7945,0.7871,,-0.25%
6/30/2025,0.7931,0.7999,0.8002,0.7929,,-0.75%
6/27/2025,0.7991,0.8,0.802,0.7957,,-0.15%
6/26/2025,0.8003,0.805,0.8056,0.7978,,-0.56%
6/25/2025,0.8048,0.8056,0.8083,0.8038,,-0.10%
6/24/2025,0.8056,0.8127,0.8139,0.8035,,-0.87%
6/23/2025,0.8127,0.8184,0.8197,0.8115,,-0.60%
6/20/2025,0.8176,0.8169,0.8186,0.8151,,0.11%
6/19/2025,0.8167,0.8181,0.8217,0.8155,,-0.27%
6/18/2025,0.8189,0.8166,0.8201,0.8152,,0.29%
6/17/2025,0.8165,0.8141,0.8173,0.8119,,0.29%
6/16/2025,0.8141,0.8116,0.8148,0.8087,,0.35%
6/13/2025,0.8113,0.8105,0.815,0.8056,,0.12%
6/12/2025,0.8103,0.8208,0.8212,0.81,,-1.22%
6/11/2025,0.8203,0.8227,0.8237,0.8184,,-0.29%
6/10/2025,0.8227,0.8221,0.8243,0.8203,,0.10%
6/9/2025,0.8219,0.8224,0.823,0.8192,,0.02%
6/6/2025,0.8217,0.8197,0.825,0.8189,,0.23%
6/5/2025,0.8198,0.8183,0.8216,0.8171,,0.17%
6/4/2025,0.8184,0.824,0.8252,0.817,,-0.67%
6/3/2025,0.8239,0.8174,0.8249,0.8157,,0.83%
6/2/2025,0.8171,0.8236,0.8244,0.8156,,-0.67%
5/30/2025,0.8226,0.8229,0.8251,0.8198,,-0.05%
5/29/2025,0.823,0.8273,0.8352,0.8218,,-0.54%
5/28/2025,0.8275,0.8268,0.8294,0.8244,,0.04%
5/27/2025,0.8272,0.8212,0.8281,0.8186,,0.74%
5/26/2025,0.8211,0.8213,0.8235,0.8192,,-0.04%
5/23/2025,0.8214,0.8287,0.8297,0.8204,,-0.93%
5/22/2025,0.8291,0.8248,0.8308,0.8233,,0.44%
5/21/2025,0.8255,0.8283,0.829,0.8208,,-0.35%
5/20/2025,0.8284,0.8342,0.8365,0.8281,,-0.75%
5/19/2025,0.8347,0.8376,0.8383,0.8318,,-0.38%
5/16/2025,0.8379,0.8359,0.8402,0.8326,,0.24%
5/15/2025,0.8359,0.8425,0.8425,0.8345,,-0.74%
5/14/2025,0.8421,0.8399,0.8437,0.8324,,0.31%
5/13/2025,0.8395,0.8453,0.8463,0.8386,,-0.73%
5/12/2025,0.8457,0.8328,0.8477,0.8311,,1.71%
5/9/2025,0.8315,0.8322,0.8344,0.8269,,-0.08%
5/8/2025,0.8322,0.8239,0.8334,0.8223,,1.02%
5/7/2025,0.8238,0.8216,0.8274,0.8186,,0.19%
5/6/2025,0.8222,0.8223,0.8267,0.8213,,-0.04%
5/5/2025,0.8225,0.8175,0.8386,0.8123,,-0.52%
5/2/2025,0.8268,0.8292,0.8327,0.8206,,-0.33%
5/1/2025,0.8295,0.8245,0.8334,0.8242,,0.40%
4/30/2025,0.8262,0.8241,0.8274,0.8214,,0.28%
4/29/2025,0.8239,0.8201,0.8266,0.8197,,0.48%
4/28/2025,0.82,0.8292,0.832,0.8197,,-0.95%
4/25/2025,0.8279,0.8267,0.8336,0.8262,,0.08%
4/24/2025,0.8272,0.8307,0.8321,0.8239,,-0.46%
4/23/2025,0.831,0.8187,0.8313,0.8176,,1.47%
4/22/2025,0.819,0.8093,0.8193,0.8056,,1.25%
4/21/2025,0.8089,0.816,0.8186,0.8039,,-0.89%
4/18/2025,0.8162,0.8187,0.8206,0.8158,,-0.43%
4/17/2025,0.8197,0.8135,0.8233,0.8125,,0.84%
4/16/2025,0.8129,0.824,0.824,0.812,,-1.25%
4/15/2025,0.8232,0.8147,0.8241,0.8132,,1.07%
4/14/2025,0.8145,0.819,0.827,0.8119,,-0.07%
4/11/2025,0.8151,0.824,0.8268,0.8098,,-1.00%
4/10/2025,0.8233,0.8574,0.8579,0.8231,,-4.06%
4/9/2025,0.8581,0.853,0.8585,0.8359,,1.26%
4/8/2025,0.8474,0.8602,0.8639,0.8455,,-1.43%
4/7/2025,0.8597,0.8586,0.8674,0.845,,-0.09%
4/4/2025,0.8605,0.859,0.8628,0.8476,,0.16%
4/3/2025,0.8591,0.8816,0.8836,0.8547,,-2.53%
4/2/2025,0.8814,0.8837,0.885,0.8812,,-0.22%
4/1/2025,0.8833,0.8846,0.8849,0.8816,,-0.09%
3/31/2025,0.8841,0.8808,0.8857,0.878,,0.43%
3/28/2025,0.8803,0.8814,0.8836,0.8799,,-0.11%
3/27/2025,0.8813,0.884,0.885,0.8803,,-0.25%
3/26/2025,0.8835,0.8822,0.8852,0.8821,,0.11%
3/25/2025,0.8825,0.8833,0.885,0.88,,-0.05%
3/24/2025,0.8829,0.883,0.8847,0.8799,,-0.02%
3/21/2025,0.8831,0.8815,0.8841,0.8796,,0.14%
3/20/2025,0.8819,0.8777,0.8844,0.8755,,0.54%
3/19/2025,0.8772,0.8794,0.8811,0.8762,,0.09%
3/18/2025,0.8764,0.8812,0.882,0.8758,,-0.50%
3/17/2025,0.8808,0.8853,0.8859,0.8797,,-0.49%
3/14/2025,0.8851,0.8825,0.8865,0.8816,,0.36%
3/13/2025,0.8819,0.8822,0.8856,0.8803,,0.01%
3/12/2025,0.8818,0.8823,0.8854,0.8803,,-0.08%
3/11/2025,0.8825,0.881,0.8837,0.8772,,0.19%
3/10/2025,0.8808,0.8799,0.8823,0.8758,,0.15%
3/7/2025,0.8795,0.8842,0.8845,0.8767,,-0.44%
3/6/2025,0.8834,0.8911,0.8927,0.8825,,-0.81%
3/5/2025,0.8906,0.8893,0.8916,0.8856,,0.11%
3/4/2025,0.8896,0.897,0.8975,0.8871,,-0.79%
3/3/2025,0.8967,0.9018,0.9035,0.896,,-0.72%
2/28/2025,0.9032,0.8997,0.9039,0.8982,,0.42%
2/27/2025,0.8994,0.8948,0.9007,0.8938,,0.53%
2/26/2025,0.8947,0.8928,0.8966,0.8916,,0.20%
2/25/2025,0.8929,0.897,0.898,0.8912,,-0.43%
2/24/2025,0.8968,0.898,0.9,0.8953,,-0.10%
2/21/2025,0.8977,0.898,0.9006,0.8967,,0.01%
2/20/2025,0.8976,0.9046,0.9049,0.8975,,-0.74%
2/19/2025,0.9043,0.9033,0.9056,0.9023,,0.14%
2/18/2025,0.903,0.901,0.9043,0.8995,,0.26%
2/17/2025,0.9007,0.8991,0.902,0.8979,,0.18%
2/14/2025,0.8991,0.903,0.9051,0.8971,,-0.43%
2/13/2025,0.903,0.9134,0.9142,0.9028,,-1.16%
2/12/2025,0.9136,0.9133,0.9157,0.9102,,0.08%
2/11/2025,0.9129,0.9113,0.9142,0.9107,,0.21%
2/10/2025,0.911,0.9093,0.9124,0.909,,0.18%
2/7/2025,0.9094,0.9047,0.9108,0.9044,,0.51%
2/6/2025,0.9048,0.9016,0.9063,0.9007,,0.34%
2/5/2025,0.9017,0.9052,0.9062,0.9001,,-0.39%
2/4/2025,0.9052,0.9122,0.9134,0.9044,,-0.54%
2/3/2025,0.9101,0.9115,0.9198,0.9093,,-0.07%
1/31/2025,0.9107,0.9093,0.9117,0.9072,,0.15%
1/30/2025,0.9093,0.9069,0.9105,0.9058,,0.31%
1/29/2025,0.9065,0.9043,0.9096,0.9031,,0.30%
1/28/2025,0.9038,0.902,0.9072,0.9015,,0.21%
1/27/2025,0.9019,0.906,0.9075,0.8964,,-0.42%
1/24/2025,0.9057,0.9078,0.9079,0.9027,,-0.14%
1/23/2025,0.907,0.907,0.911,0.9056,,0.06%
1/22/2025,0.9065,0.9056,0.9077,0.9032,,0.08%
1/21/2025,0.9058,0.9069,0.9116,0.9051,,-0.04%
1/20/2025,0.9062,0.914,0.9154,0.9055,,-0.95%
1/17/2025,0.9149,0.9111,0.9155,0.9096,,0.48%
1/16/2025,0.9105,0.9127,0.9138,0.91,,-0.23%
1/15/2025,0.9126,0.9128,0.9147,0.9083,,0.07%
1/14/2025,0.912,0.9166,0.9175,0.9121,,-0.49%
1/13/2025,0.9165,0.9166,0.9202,0.9154,,0.01%
1/10/2025,0.9164,0.9119,0.919,0.9115,,0.49%
1/9/2025,0.9119,0.9107,0.9132,0.9098,,0.12%
